,unit,ticker,exchangeCD,shortNM,currencyCD,barTime,dataDate,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
0,1,000001,XSHG,上证指数,,09:30,2016-07-01,2931.802,2931.802,2931.802,2931.802,112326800,1866192819.0
1,1,000001,XSHG,上证指数,,09:31,2016-07-01,2933.615,2931.994,2935.062,2931.994,217901600,3200835487.0
2,1,000001,XSHG,上证指数,,09:32,2016-07-01,2933.012,2935.1409999999996,2935.1409999999996,2933.012,124621100,1692212124.6
3,1,000001,XSHG,上证指数,,09:33,2016-07-01,2934.1040000000003,2933.348,2934.1040000000003,2932.7270000000003,109101700,1339115759.9
4,1,000001,XSHG,上证指数,,09:34,2016-07-01,2935.8059999999996,2933.8920000000003,2935.8059999999996,2933.692,94951100,1209111617.8
5,1,000001,XSHG,上证指数,,09:35,2016-07-01,2938.222,2935.7670000000003,2938.222,2935.489,109191000,1378811987.6
6,1,000001,XSHG,上证指数,,09:36,2016-07-01,2939.422,2938.257,2940.018,2938.257,108899800,1344259884.6
7,1,000001,XSHG,上证指数,,09:37,2016-07-01,2939.2870000000003,2939.7270000000003,2940.059,2938.474,110351000,1388401331.5
8,1,000001,XSHG,上证指数,,09:38,2016-07-01,2939.164,2938.853,2939.522,2938.217,101914400,1264661813.7
9,1,000001,XSHG,上证指数,,09:39,2016-07-01,2937.9190000000003,2938.9,2938.9,2937.7329999999997,98950200,1212896957.1
10,1,000001,XSHG,上证指数,,09:40,2016-07-01,2937.449,2937.9190000000003,2938.2740000000003,2936.998,94227600,1151913109.3
11,1,000001,XSHG,上证指数,,09:41,2016-07-01,2937.801,2938.21,2938.329,2937.118,88948100,1105634776.4
12,1,000001,XSHG,上证指数,,09:42,2016-07-01,2936.5029999999997,2937.4040000000005,2937.762,2936.237,92039300,1138879634.4
13,1,000001,XSHG,上证指数,,09:43,2016-07-01,2936.026,2936.8520000000003,2936.886,2935.8109999999997,83449200,1100337511.8
14,1,000001,XSHG,上证指数,,09:44,2016-07-01,2935.4320000000002,2936.382,2936.619,2935.4320000000002,81427900,1056020007.4
15,1,000001,XSHG,上证指数,,09:45,2016-07-01,2935.623,2936.2729999999997,2936.717,2935.623,75955700,970261943.9
16,1,000001,XSHG,上证指数,,09:46,2016-07-01,2935.217,2936.34,2937.034,2935.217,85919000,1077042630.4
17,1,000001,XSHG,上证指数,,09:47,2016-07-01,2934.0029999999997,2935.113,2935.861,2934.0029999999997,103025400,1322876834.6
18,1,000001,XSHG,上证指数,,09:48,2016-07-01,2933.75,2933.6220000000003,2934.514,2932.8320000000003,89630200,1155711247.7
19,1,000001,XSHG,上证指数,,09:49,2016-07-01,2933.62,2933.5640000000003,2934.526,2933.0009999999997,84920500,1087880725.4
20,1,000001,XSHG,上证指数,,09:50,2016-07-01,2934.026,2934.415,2934.415,2933.365,73193900,954262684.0
21,1,000001,XSHG,上证指数,,09:51,2016-07-01,2935.344,2934.364,2935.4120000000003,2934.2859999999996,71322000,953608638.1
22,1,000001,XSHG,上证指数,,09:52,2016-07-01,2935.2670000000003,2935.0029999999997,2935.847,2934.915,70830300,920628158.3
23,1,000001,XSHG,上证指数,,09:53,2016-07-01,2936.386,2936.048,2936.627,2935.565,69812900,906472628.4
24,1,000001,XSHG,上证指数,,09:54,2016-07-01,2936.88,2936.945,2937.157,2936.45,71921300,948974620.0
25,1,000001,XSHG,上证指数,,09:55,2016-07-01,2937.618,2936.923,2937.618,2936.715,75368700,996387560.0
26,1,000001,XSHG,上证指数,,09:56,2016-07-01,2938.095,2937.5359999999996,2938.3909999999996,2936.9629999999997,69628700,883012261.6
27,1,000001,XSHG,上证指数,,09:57,2016-07-01,2938.156,2937.738,2938.156,2937.165,70193100,895361563.8
28,1,000001,XSHG,上证指数,,09:58,2016-07-01,2938.265,2937.877,2938.467,2937.6040000000003,66382900,839719557.1
29,1,000001,XSHG,上证指数,,09:59,2016-07-01,2938.335,2938.336,2938.884,2937.923,68581200,857480559.2
30,1,000001,XSHG,上证指数,,10:00,2016-07-01,2939.077,2938.7290000000003,2939.954,2938.407,73868800,920897335.0
31,1,000001,XSHG,上证指数,,10:01,2016-07-01,2940.7729999999997,2939.094,2940.7729999999997,2939.094,83875000,999229872.8
32,1,000001,XSHG,上证指数,,10:02,2016-07-01,2942.367,2940.9120000000003,2942.367,2940.9120000000003,95444100,1106820778.9
33,1,000001,XSHG,上证指数,,10:03,2016-07-01,2941.861,2941.765,2942.923,2941.7070000000003,98462200,1115045133.0
34,1,000001,XSHG,上证指数,,10:04,2016-07-01,2943.3179999999998,2942.7859999999996,2943.461,2942.4159999999997,83989900,986229531.1
35,1,000001,XSHG,上证指数,,10:05,2016-07-01,2942.593,2942.9770000000003,2943.7270000000003,2942.5409999999997,79589100,949393492.9
36,1,000001,XSHG,上证指数,,10:06,2016-07-01,2943.131,2942.527,2943.327,2941.958,80873000,973210111.0
37,1,000001,XSHG,上证指数,,10:07,2016-07-01,2942.5209999999997,2942.792,2943.18,2942.402,76153900,925896473.1
38,1,000001,XSHG,上证指数,,10:08,2016-07-01,2942.92,2942.815,2943.1690000000003,2942.07,68890100,850703105.7
39,1,000001,XSHG,上证指数,,10:09,2016-07-01,2942.7740000000003,2942.4640000000004,2942.873,2941.995,63316300,777110059.4
40,1,000001,XSHG,上证指数,,10:10,2016-07-01,2941.35,2942.421,2942.619,2941.1279999999997,63545600,805151729.0
41,1,000001,XSHG,上证指数,,10:11,2016-07-01,2941.357,2941.2490000000003,2941.802,2940.695,65544000,794317072.8
42,1,000001,XSHG,上证指数,,10:12,2016-07-01,2941.835,2941.467,2941.835,2940.7540000000004,54073300,688195416.7
43,1,000001,XSHG,上证指数,,10:13,2016-07-01,2942.335,2941.776,2942.335,2941.4959999999996,67893300,857672978.0
44,1,000001,XSHG,上证指数,,10:14,2016-07-01,2942.9759999999997,2942.276,2943.038,2941.88,73579600,923613169.5
45,1,000001,XSHG,上证指数,,10:15,2016-07-01,2944.13,2943.7740000000003,2944.3920000000003,2942.8540000000003,87589500,1069292068.4
46,1,000001,XSHG,上证指数,,10:16,2016-07-01,2943.453,2944.6059999999998,2944.847,2943.453,73310400,924481022.4
47,1,000001,XSHG,上证指数,,10:17,2016-07-01,2942.995,2943.673,2944.942,2942.995,77825200,962574794.7
48,1,000001,XSHG,上证指数,,10:18,2016-07-01,2942.719,2943.5570000000002,2943.917,2942.54,75281500,942170963.6
49,1,000001,XSHG,上证指数,,10:19,2016-07-01,2942.748,2942.9,2943.2309999999998,2942.384,68778300,894045690.8
50,1,000001,XSHG,上证指数,,10:20,2016-07-01,2941.9759999999997,2942.4790000000003,2943.461,2941.9759999999997,68849300,901571064.7
51,1,000001,XSHG,上证指数,,10:21,2016-07-01,2942.0370000000003,2942.191,2943.077,2942.0370000000003,68292600,888459213.6
52,1,000001,XSHG,上证指数,,10:22,2016-07-01,2941.175,2942.2929999999997,2942.2929999999997,2941.175,69233300,905898197.9
53,1,000001,XSHG,上证指数,,10:23,2016-07-01,2941.2,2941.3909999999996,2942.475,2941.2,69600500,815816939.6
54,1,000001,XSHG,上证指数,,10:24,2016-07-01,2941.647,2941.26,2942.401,2941.223,64806900,802966132.8
55,1,000001,XSHG,上证指数,,10:25,2016-07-01,2941.67,2941.2670000000003,2942.6479999999997,2941.0959999999995,69163800,825152231.9
56,1,000001,XSHG,上证指数,,10:26,2016-07-01,2941.715,2942.1679999999997,2942.685,2941.032,65750200,784948645.0
57,1,000001,XSHG,上证指数,,10:27,2016-07-01,2939.8920000000003,2941.757,2942.11,2939.8920000000003,60299800,756223290.5
58,1,000001,XSHG,上证指数,,10:28,2016-07-01,2939.143,2939.691,2940.61,2939.143,84504300,1048660401.0
59,1,000001,XSHG,上证指数,,10:29,2016-07-01,2937.934,2939.3059999999996,2939.8,2937.699,80706700,985933714.7
60,1,000001,XSHG,上证指数,,10:30,2016-07-01,2937.583,2938.41,2938.717,2937.5370000000003,70721900,892871864.3
61,1,000001,XSHG,上证指数,,10:31,2016-07-01,2937.502,2938.297,2938.4309999999996,2937.2540000000004,62233800,765855113.1
62,1,000001,XSHG,上证指数,,10:32,2016-07-01,2937.24,2938.362,2939.0040000000004,2937.2090000000003,56890400,727821789.5
63,1,000001,XSHG,上证指数,,10:33,2016-07-01,2937.9970000000003,2937.73,2938.74,2937.377,47779900,600542073.2
64,1,000001,XSHG,上证指数,,10:34,2016-07-01,2938.935,2938.677,2939.039,2938.086,47871400,598499750.0
65,1,000001,XSHG,上证指数,,10:35,2016-07-01,2937.965,2939.276,2939.276,2937.908,48868200,600177201.5
66,1,000001,XSHG,上证指数,,10:36,2016-07-01,2938.0009999999997,2939.026,2939.026,2937.212,47427500,616842371.7
67,1,000001,XSHG,上证指数,,10:37,2016-07-01,2937.0690000000004,2938.434,2938.434,2936.948,51132900,643030631.4
68,1,000001,XSHG,上证指数,,10:38,2016-07-01,2938.06,2937.781,2938.135,2937.2309999999998,50937600,674159497.6
69,1,000001,XSHG,上证指数,,10:39,2016-07-01,2938.9709999999995,2938.3320000000003,2939.1259999999997,2937.616,52325500,644631904.6
70,1,000001,XSHG,上证指数,,10:40,2016-07-01,2938.812,2938.847,2939.4120000000003,2938.3379999999997,52379500,635039422.4
71,1,000001,XSHG,上证指数,,10:41,2016-07-01,2939.86,2939.4190000000003,2939.906,2938.883,48108300,600750705.5
72,1,000001,XSHG,上证指数,,10:42,2016-07-01,2939.329,2939.1040000000003,2940.492,2938.687,45172800,548191062.5
73,1,000001,XSHG,上证指数,,10:43,2016-07-01,2939.955,2939.9809999999998,2940.406,2939.192,42983600,513333250.5
74,1,000001,XSHG,上证指数,,10:44,2016-07-01,2939.762,2939.555,2940.0229999999997,2939.325,43801300,534064544.6
75,1,000001,XSHG,上证指数,,10:45,2016-07-01,2939.4759999999997,2939.507,2939.6929999999998,2938.869,45522000,537320927.2
76,1,000001,XSHG,上证指数,,10:46,2016-07-01,2938.664,2939.3390000000004,2939.408,2938.3459999999995,44768700,535777649.3
77,1,000001,XSHG,上证指数,,10:47,2016-07-01,2938.094,2938.202,2939.02,2937.447,51352600,609639936.2
78,1,000001,XSHG,上证指数,,10:48,2016-07-01,2936.9640000000004,2938.408,2938.408,2936.5359999999996,59789300,704359136.5
79,1,000001,XSHG,上证指数,,10:49,2016-07-01,2935.8320000000003,2936.907,2936.907,2935.347,63740700,790396666.4
80,1,000001,XSHG,上证指数,,10:50,2016-07-01,2935.7870000000003,2936.4190000000003,2936.4190000000003,2934.705,65315100,779737493.0
81,1,000001,XSHG,上证指数,,10:51,2016-07-01,2935.2729999999997,2935.2729999999997,2935.509,2934.067,58710800,711623075.5
82,1,000001,XSHG,上证指数,,10:52,2016-07-01,2934.973,2934.868,2934.973,2934.1740000000004,57705900,691447960.4
83,1,000001,XSHG,上证指数,,10:53,2016-07-01,2934.034,2934.847,2934.885,2933.7509999999997,47167700,609160490.5
84,1,000001,XSHG,上证指数,,10:54,2016-07-01,2934.948,2934.3559999999998,2934.948,2933.86,47502200,543763523.2
85,1,000001,XSHG,上证指数,,10:55,2016-07-01,2934.223,2934.948,2935.125,2934.153,41739200,508969647.4
86,1,000001,XSHG,上证指数,,10:56,2016-07-01,2934.239,2934.5840000000003,2935.349,2934.239,46784400,578724369.9
87,1,000001,XSHG,上证指数,,10:57,2016-07-01,2934.921,2935.43,2935.954,2934.921,43028100,538652202.5
88,1,000001,XSHG,上证指数,,10:58,2016-07-01,2935.09,2934.886,2936.0190000000002,2934.886,43330400,550330566.1
89,1,000001,XSHG,上证指数,,10:59,2016-07-01,2936.4570000000003,2935.179,2936.525,2935.179,41640800,522283208.1
90,1,000001,XSHG,上证指数,,11:00,2016-07-01,2936.1809999999996,2936.1090000000004,2936.37,2935.8720000000003,41877100,492967264.0
91,1,000001,XSHG,上证指数,,11:01,2016-07-01,2935.1,2935.698,2936.1540000000005,2935.1,38868300,487345508.9
92,1,000001,XSHG,上证指数,,11:02,2016-07-01,2934.954,2935.438,2936.3309999999997,2934.954,48447100,547182377.7
93,1,000001,XSHG,上证指数,,11:03,2016-07-01,2934.245,2935.699,2935.969,2934.245,42939300,510695746.7
94,1,000001,XSHG,上证指数,,11:04,2016-07-01,2934.619,2934.922,2935.548,2934.619,39371200,521463274.1
95,1,000001,XSHG,上证指数,,11:05,2016-07-01,2934.3540000000003,2934.949,2935.732,2934.3540000000003,37679500,468548494.7
96,1,000001,XSHG,上证指数,,11:06,2016-07-01,2935.329,2935.1479999999997,2935.864,2935.125,43978100,553080894.7
97,1,000001,XSHG,上证指数,,11:07,2016-07-01,2935.8,2936.554,2936.87,2935.732,41639200,503083378.9
98,1,000001,XSHG,上证指数,,11:08,2016-07-01,2936.29,2936.9120000000003,2936.9809999999998,2936.2140000000004,37101700,468148726.9
99,1,000001,XSHG,上证指数,,11:09,2016-07-01,2936.883,2936.946,2937.6240000000003,2936.883,35029900,417215200.5
100,1,000001,XSHG,上证指数,,11:10,2016-07-01,2937.0190000000002,2936.78,2938.2709999999997,2936.78,36232800,455220478.3
101,1,000001,XSHG,上证指数,,11:11,2016-07-01,2937.804,2938.217,2938.34,2937.804,38572000,482942747.8
102,1,000001,XSHG,上证指数,,11:12,2016-07-01,2937.94,2938.685,2938.868,2937.9240000000004,37907700,451893399.4
103,1,000001,XSHG,上证指数,,11:13,2016-07-01,2937.4,2938.7290000000003,2938.7290000000003,2937.3179999999998,36067000,439873971.5
104,1,000001,XSHG,上证指数,,11:14,2016-07-01,2937.789,2938.2509999999997,2938.3509999999997,2937.158,34039700,404135839.8
105,1,000001,XSHG,上证指数,,11:15,2016-07-01,2937.6420000000003,2938.4,2938.4,2936.513,35551800,436750443.3
106,1,000001,XSHG,上证指数,,11:16,2016-07-01,2936.032,2937.427,2937.427,2935.735,53716100,559193059.4
107,1,000001,XSHG,上证指数,,11:17,2016-07-01,2935.688,2937.1009999999997,2937.1009999999997,2935.688,42962600,490300116.4
108,1,000001,XSHG,上证指数,,11:18,2016-07-01,2936.2090000000003,2936.587,2936.757,2935.4570000000003,40514400,446277961.4
109,1,000001,XSHG,上证指数,,11:19,2016-07-01,2935.985,2936.678,2936.678,2935.397,36851000,440745010.5
110,1,000001,XSHG,上证指数,,11:20,2016-07-01,2935.2929999999997,2935.8140000000003,2936.3259999999996,2935.25,35902500,421928216.3
111,1,000001,XSHG,上证指数,,11:21,2016-07-01,2935.9179999999997,2935.4629999999997,2935.955,2934.885,37589400,453579929.8
112,1,000001,XSHG,上证指数,,11:22,2016-07-01,2935.3509999999997,2936.2070000000003,2936.2070000000003,2934.625,41633700,490493218.8
113,1,000001,XSHG,上证指数,,11:23,2016-07-01,2935.3390000000004,2935.8340000000003,2936.0209999999997,2934.739,39872900,464015580.4
114,1,000001,XSHG,上证指数,,11:24,2016-07-01,2935.2459999999996,2935.844,2936.052,2934.532,37496900,446759596.6
115,1,000001,XSHG,上证指数,,11:25,2016-07-01,2935.7090000000003,2935.2790000000005,2935.885,2934.795,35130100,430616419.7
116,1,000001,XSHG,上证指数,,11:26,2016-07-01,2935.9640000000004,2936.052,2936.052,2935.1409999999996,33014400,402591684.4
117,1,000001,XSHG,上证指数,,11:27,2016-07-01,2935.488,2935.435,2935.7070000000003,2934.974,32728200,402619993.5
118,1,000001,XSHG,上证指数,,11:28,2016-07-01,2936.032,2935.845,2936.032,2934.645,31685000,420910224.8
119,1,000001,XSHG,上证指数,,11:29,2016-07-01,2935.6859999999997,2935.638,2935.7090000000003,2934.945,35896100,448292610.0
